# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

LIFTING_SURFACE,WingGeom
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,33
# x,y,z,u,w
7.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000083e-03
6.148394463485652217e+00, 0.000000000000000000e+00, -5.389896521050596689e-02, 1.000000000000000000e+00, 1.287500000000000033e-01
5.353363420292531316e+00, 0.000000000000000000e+00, -1.000363618687023781e-01, 1.000000000000000000e+00, 2.535000000000000031e-01
4.614399041084022990e+00, 0.000000000000000000e+00, -1.390993217892333711e-01, 1.000000000000000000e+00, 3.782499999999999751e-01
3.931111628340736353e+00, 0.000000000000000000e+00, -1.707146249066995580e-01, 1.000000000000000000e+00, 5.030000000000000027e-01
3.303178222774428185e+00, 0.000000000000000000e+00, -1.940558772978705493e-01, 1.000000000000000000e+00, 6.277500000000000302e-01
2.730320491021021923e+00, 0.000000000000000000e+00, -2.082617983671386508e-01, 1.000000000000000000e+00, 7.524999999999999467e-01
2.212299297389482611e+00, 0.000000000000000000e+00, -2.126983107622250624e-01, 1.000000000000000000e+00, 8.772499999999999742e-01
1.748917037539986952e+00, 0.000000000000000000e+00, -2.070948622041404730e-01, 1.000000000000000000e+00, 1.002000000000000002e+00
1.342693054173559108e+00, 0.000000000000000000e+00, -1.918132269619846897e-01, 1.000000000000000000e+00, 1.126749999999999918e+00
1.002505493980679008e+00, 0.000000000000000000e+00, -1.776945333452328857e-01, 1.000000000000000000e+00, 1.251500000000000057e+00
7.111677201144459559e-01, 0.000000000000000000e+00, -1.660849021767686895e-01, 1.000000000000000000e+00, 1.376249999999999973e+00
4.685277540122517737e-01, 0.000000000000000000e+00, -1.518282678134444397e-01, 1.000000000000000000e+00, 1.500999999999999890e+00
2.750612765400919368e-01, 0.000000000000000000e+00, -1.308342919187286957e-01, 1.000000000000000000e+00, 1.625750000000000028e+00
1.316772079550397878e-01, 0.000000000000000000e+00, -9.994062007924128799e-02, 1.000000000000000000e+00, 1.750499999999999945e+00
3.954993182096459836e-02, 0.000000000000000000e+00, -5.683132002799268223e-02, 1.000000000000000000e+00, 1.875250000000000083e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
1.513756817903538776e-02, 0.000000000000000000e+00, 6.766200850455536542e-02, 1.000000000000000000e+00, 2.124750000000000139e+00
8.707279204496005953e-02, 0.000000000000000000e+00, 1.419816357042412158e-01, 1.000000000000000000e+00, 2.249499999999999833e+00
2.171262234599078411e-01, 0.000000000000000000e+00, 2.206200585202962583e-01, 1.000000000000000000e+00, 2.374249999999999972e+00
4.064722459877487815e-01, 0.000000000000000000e+00, 2.994845178163768606e-01, 1.000000000000000000e+00, 2.499000000000000110e+00
6.560197798855540441e-01, 0.000000000000000000e+00, 3.727652004257135943e-01, 1.000000000000000000e+00, 2.623749999999999805e+00
9.662445060193209923e-01, 0.000000000000000000e+00, 4.330168209081630692e-01, 1.000000000000000000e+00, 2.748499999999999943e+00
1.336994445826444888e+00, 0.000000000000000000e+00, 4.712969108544676766e-01, 1.000000000000000000e+00, 2.873250000000000082e+00
1.751082962460016157e+00, 0.000000000000000000e+00, 4.860012283265469080e-01, 1.000000000000000000e+00, 2.997999999999999776e+00
2.217388202610519166e+00, 0.000000000000000000e+00, 4.867700103357244235e-01, 1.000000000000000000e+00, 3.122749999999999915e+00
2.738429508978977189e+00, 0.000000000000000000e+00, 4.723639714258409117e-01, 1.000000000000000000e+00, 3.247500000000000053e+00
3.314009277225574479e+00, 0.000000000000000000e+00, 4.415315013860956483e-01, 1.000000000000000000e+00, 3.372250000000000192e+00
3.943888371659264980e+00, 0.000000000000000000e+00, 3.932243905317275301e-01, 1.000000000000000000e+00, 3.496999999999999886e+00
4.627788458915980563e+00, 0.000000000000000000e+00, 3.264614204830810773e-01, 1.000000000000000000e+00, 3.621750000000000025e+00
5.365386579707471348e+00, 0.000000000000000000e+00, 2.400662690952647671e-01, 1.000000000000000000e+00, 3.746500000000000163e+00
6.156293036514355776e+00, 0.000000000000000000e+00, 1.322492230840411898e-01, 1.000000000000000000e+00, 3.871249999999999858e+00
7.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 3.995999999999999996e+00
7.710379336119103755e+00, 1.799999999999999600e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 4.000000000000000083e-03
6.956438656907627305e+00, 1.802066659215556310e+00, -5.083204936278294672e-02, 1.199999999999999956e+00, 1.287500000000000033e-01
6.252445072353129518e+00, 1.803774858210209331e+00, -9.411705212683184330e-02, 1.199999999999999956e+00, 2.535000000000000031e-01
