# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

LIFTING_SURFACE,WingGeom,0
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,33
# x,y,z,u,w
7.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
6.866698115626883592e+00, 0.000000000000000000e+00, -8.775441551644688407e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
6.675127972047546265e+00, 0.000000000000000000e+00, -2.115962937056868609e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
6.405513807830324424e+00, 0.000000000000000000e+00, -3.814373462980270163e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
6.037020211721478624e+00, 0.000000000000000000e+00, -6.059568622431241169e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
5.553053766290234172e+00, 0.000000000000000000e+00, -8.881585036477154804e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
4.949632119210493286e+00, 0.000000000000000000e+00, -1.218978872537932606e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
4.244182886759127804e+00, 0.000000000000000000e+00, -1.568844241592282640e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
3.478909548101974725e+00, 0.000000000000000000e+00, -1.882173220564748728e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
2.713271268719122720e+00, 0.000000000000000000e+00, -2.085528798848088616e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
2.006980727354869209e+00, 0.000000000000000000e+00, -2.115264830286686937e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
1.402922718001250013e+00, 0.000000000000000000e+00, -1.946826989578311906e-01, 1.000000000000000000e+00, 1.586533649582798633e+00
9.185560210757356403e-01, 0.000000000000000000e+00, -1.745278614033774489e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
5.497800604235478783e-01, 0.000000000000000000e+00, -1.575133805459370262e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
2.809361399647163915e-01, 0.000000000000000000e+00, -1.317169820305935934e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
9.469024819472651733e-02, 0.000000000000000000e+00, -8.683468274139846677e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
5.718371718666389464e-02, 0.000000000000000000e+00, 1.170602600756696365e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
2.208665184974128726e-01, 0.000000000000000000e+00, 2.224857334253967367e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
4.764177739582428073e-01, 0.000000000000000000e+00, 3.228202468361970334e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
8.409233695765832017e-01, 0.000000000000000000e+00, 4.121419910083395366e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
1.330237837013150681e+00, 0.000000000000000000e+00, 4.708518380810042814e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.944625899292509619e+00, 0.000000000000000000e+00, 4.881017670115392892e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
2.662902206540359806e+00, 0.000000000000000000e+00, 4.753157034306708661e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
3.440777187056688557e+00, 0.000000000000000000e+00, 4.329403700075162842e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
4.217124840372136418e+00, 0.000000000000000000e+00, 3.682032980043399295e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
4.931562341607922839e+00, 0.000000000000000000e+00, 2.925926786968545690e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
5.541636779487180142e+00, 0.000000000000000000e+00, 2.173747802914533511e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
6.030182598729267873e+00, 0.000000000000000000e+00, 1.504729875694906793e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
6.401671598423105181e+00, 0.000000000000000000e+00, 9.565878063506140505e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
6.673187628103516289e+00, 0.000000000000000000e+00, 5.340257804551645782e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
6.865948954080038469e+00, 0.000000000000000000e+00, 2.224253524292651302e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
7.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
7.710379336119103755e+00, 1.799999999999999600e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
7.592282929447823570e+00, 1.800343126673556782e+00, -8.300919420462554016e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
7.422561115855486946e+00, 1.800824830811567967e+00, -2.000601399287564586e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
7.183688857184133525e+00, 1.801480215245035543e+00, -3.603922620445572378e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
6.857198827837519772e+00, 1.802335068275350949e+00, -5.719114242220322414e-02, 1.199999999999999956e+00, 2.765358755368440558e-01
6.428377596668373606e+00, 1.803387634292782815e+00, -8.369550358994654049e-02, 1.199999999999999956e+00, 4.134663504172013671e-01
5.893681783203284397e+00, 1.804586472874697201e+00, -1.146352595989431900e-01, 1.199999999999999956e+00, 5.841612375912467181e-01
5.268538568336044392e+00, 1.805811711519609730e+00, -1.471971419975010020e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
4.590336229271775537e+00, 1.806877636700381595e+00, -1.762415472470067745e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
3.911769524891383742e+00, 1.807576528736525301e+00, -1.951182940975669522e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
3.285775654342900864e+00, 1.807758253966422757e+00, -1.981753844036482359e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
2.750387474011347422e+00, 1.807393811442390419e+00, -1.833402391308511237e-01, 1.199999999999999956e+00, 1.586533649582798633e+00
2.321175014016532590e+00, 1.806567711081082050e+00, -1.641333205667347972e-01, 1.199999999999999956e+00, 1.723464124463156111e+00
1.994611021537682660e+00, 1.805408455493604070e+00, -1.461953351293552028e-01, 1.199999999999999956e+00, 1.827739635619072267e+00
1.756870050210482592e+00, 1.804004325739941406e+00, -1.203179327359924500e-01, 1.199999999999999956e+00, 1.904044169930654951e+00
1.592698971912771544e+00, 1.802308578875904121e+00, -7.808347985127485347e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
1.510379336119103577e+00, 1.799999999999999600e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
1.562693747106321140e+00, 1.797691421124095079e+00, 1.022639417186916033e-01, 1.199999999999999956e+00, 2.041733119767888294e+00
1.708814353036639311e+00, 1.795995674260058017e+00, 1.929329338518349091e-01, 1.199999999999999956e+00, 2.095955830069344827e+00
1.935921192365438914e+00, 1.794591544506395575e+00, 2.784408281615632363e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
2.259068892817212237e+00, 1.793432288918917372e+00, 3.542246242507045562e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
