  
       XFOIL         Version 6.97
  
 Calculated polar for: 001222                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.5341   0.02135   0.01341  -0.0011   0.2716   0.8994
   2.500   0.5945   0.02173   0.01376  -0.0021   0.2626   0.9076
   3.000   0.6540   0.02219   0.01415  -0.0030   0.2540   0.9156
   3.500   0.7144   0.02263   0.01448  -0.0042   0.2465   0.9237
   4.500   0.8338   0.02348   0.01524  -0.0066   0.2326   0.9390
   6.000   1.0105   0.02456   0.01641  -0.0103   0.2137   0.9604
   6.500   1.0683   0.02487   0.01669  -0.0116   0.2081   0.9674
   7.500   1.1841   0.02570   0.01763  -0.0143   0.1976   0.9828
   8.000   1.2574   0.02616   0.01805  -0.0191   0.1924   0.9926
   8.500   1.3257   0.02620   0.01828  -0.0229   0.1868   1.0001
   9.000   1.3508   0.02687   0.01895  -0.0181   0.1834   1.0001
   9.500   1.3768   0.02793   0.02005  -0.0136   0.1802   1.0001
  10.000   1.3870   0.02876   0.02109  -0.0062   0.1769   1.0001
  10.500   1.3897   0.02950   0.02196   0.0027   0.1742   1.0001
  11.000   1.3960   0.03032   0.02281   0.0105   0.1715   1.0001
  11.500   1.4091   0.03162   0.02414   0.0166   0.1686   1.0001
  12.000   1.3993   0.03292   0.02571   0.0262   0.1662   1.0001
  12.500   1.3965   0.03443   0.02740   0.0340   0.1635   1.0001
  13.000   1.3989   0.03597   0.02905   0.0405   0.1612   1.0001
  13.500   1.4100   0.03749   0.03056   0.0454   0.1587   1.0001
  14.000   1.3982   0.04015   0.03343   0.0521   0.1561   1.0001
  14.500   1.3755   0.04362   0.03719   0.0586   0.1538   1.0001
  15.000   1.3585   0.04730   0.04106   0.0632   0.1511   1.0001
