  
       XFOIL         Version 6.97
  
 Calculated polar for: 001324                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.040     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.4807   0.02124   0.01229  -0.0470   0.4487   0.6085
   2.500   0.5165   0.02161   0.01279  -0.0446   0.4456   0.6180
   3.000   0.5588   0.02192   0.01312  -0.0436   0.4428   0.6286
   3.500   0.6086   0.02220   0.01337  -0.0441   0.4404   0.6406
   4.000   0.6694   0.02267   0.01381  -0.0470   0.4379   0.6542
   4.500   0.6904   0.02341   0.01476  -0.0420   0.4354   0.6680
   5.000   0.7053   0.02417   0.01575  -0.0360   0.4325   0.6835
   5.500   0.7269   0.02481   0.01658  -0.0315   0.4293   0.7012
   6.000   0.7588   0.02534   0.01729  -0.0290   0.4268   0.7241
   6.500   0.8022   0.02565   0.01778  -0.0286   0.4247   0.7568
   7.000   0.8566   0.02601   0.01848  -0.0303   0.4226   0.8214
   7.500   0.9399   0.02874   0.02179  -0.0409   0.4196   0.9242
   8.000   0.9530   0.03223   0.02559  -0.0383   0.4160   0.9757
   8.500   1.0056   0.03510   0.02860  -0.0434   0.4126   0.9920
   9.000   1.0870   0.03672   0.03027  -0.0529   0.4101   1.0001
   9.500   1.1079   0.03767   0.03121  -0.0495   0.4083   1.0001
  11.500   0.2352   0.14241   0.13735   0.0104   0.3525   1.0001
  12.000   0.2628   0.14451   0.13943   0.0104   0.3495   1.0001
  12.500   0.2940   0.14662   0.14151   0.0102   0.3479   1.0001
  13.000   0.3305   0.14875   0.14364   0.0098   0.3468   1.0001
  13.500   0.3732   0.15128   0.14616   0.0089   0.3461   1.0001
  14.000   0.4181   0.15514   0.15003   0.0077   0.3456   1.0001
  14.500   0.3579   0.16028   0.15525   0.0094   0.3339   1.0001
  15.000   0.3910   0.16244   0.15742   0.0086   0.3325   1.0001
