  
       XFOIL         Version 6.97
  
 Calculated polar for: 000013                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   3.000   0.6960   0.01703   0.01071  -0.0710   0.4098   1.0000
   3.500   0.6789   0.01917   0.01211  -0.0583   0.2883   1.0000
   4.000   0.6969   0.02025   0.01285  -0.0518   0.2417   1.0000
   4.500   0.7230   0.02113   0.01350  -0.0469   0.2145   1.0000
   5.000   0.7525   0.02196   0.01416  -0.0425   0.1955   1.0000
   5.500   0.7827   0.02283   0.01487  -0.0384   0.1802   1.0000
   6.000   0.8134   0.02377   0.01563  -0.0345   0.1664   1.0000
   6.500   0.8493   0.02448   0.01632  -0.0315   0.1572   1.0000
   7.000   0.8837   0.02545   0.01713  -0.0284   0.1475   1.0000
   7.500   0.9209   0.02620   0.01793  -0.0258   0.1407   1.0000
   8.000   0.9570   0.02712   0.01874  -0.0232   0.1335   1.0000
   8.500   0.9952   0.02802   0.01965  -0.0209   0.1269   1.0000
   9.000   1.0312   0.02894   0.02058  -0.0184   0.1212   1.0000
   9.500   1.0680   0.03002   0.02165  -0.0162   0.1158   1.0000
  10.000   1.1096   0.03108   0.02276  -0.0146   0.1113   1.0000
  10.500   1.1443   0.03220   0.02399  -0.0122   0.1076   1.0000
  11.000   1.1776   0.03342   0.02527  -0.0098   0.1038   1.0000
  11.500   1.2115   0.03476   0.02666  -0.0076   0.1002   1.0000
  12.000   1.2556   0.03643   0.02843  -0.0068   0.0963   1.0000
  12.500   1.2800   0.03798   0.03017  -0.0035   0.0939   1.0000
  13.000   1.3046   0.03970   0.03210  -0.0005   0.0911   1.0000
  13.500   1.3271   0.04163   0.03419   0.0025   0.0886   1.0000
  14.000   1.3478   0.04366   0.03633   0.0055   0.0864   1.0000
  14.500   1.3687   0.04607   0.03886   0.0082   0.0840   1.0000
  15.000   1.3767   0.04944   0.04248   0.0117   0.0809   1.0000
