  
       XFOIL         Version 6.97
  
 Calculated polar for: 000026                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.5541   0.01915   0.01046  -0.0539   0.5224   0.1721
   2.500   0.6110   0.01913   0.01035  -0.0537   0.5163   0.1790
   3.000   0.6580   0.01907   0.01041  -0.0521   0.5092   0.1840
   3.500   0.7114   0.01902   0.01035  -0.0513   0.5029   0.1906
   4.000   0.7587   0.01911   0.01053  -0.0496   0.4962   0.1981
   4.500   0.8043   0.01924   0.01065  -0.0475   0.4895   0.2060
   5.000   0.8598   0.01927   0.01071  -0.0473   0.4840   0.2152
   5.500   0.8910   0.01949   0.01110  -0.0429   0.4767   0.2230
   6.000   0.9403   0.01951   0.01109  -0.0415   0.4705   0.2338
   6.500   0.9708   0.01990   0.01160  -0.0371   0.4638   0.2450
   7.000   1.0071   0.02008   0.01188  -0.0337   0.4575   0.2573
   7.500   1.0507   0.02031   0.01212  -0.0315   0.4516   0.2732
   8.000   1.0595   0.02078   0.01279  -0.0238   0.4443   0.2881
   8.500   1.1089   0.02082   0.01288  -0.0227   0.4383   0.3188
   9.000   1.1143   0.02171   0.01411  -0.0157   0.4309   0.3770
