000001.log    [ 0.33476563]    [ 0.43554688]    [ 0.24804688]    [ 0.15507813]    [-0.12269531]    [ 0.12666016]    [ 0.26552734]    [-0.25574219]
000002.log    [ 0.49364404]    [ 0.17549126]    [ 0.28527734]    [ 0.40113695]    [ 0.00234673]    [ 0.10283574]    [ 0.17518748]    [-0.47840758]
000003.log    [ 0.14327064]    [ 0.43116804]    [ 0.3721663]    [ 0.298173]    [-0.37891325]    [-0.0887956]    [ 0.33440341]    [-0.04124657]
000004.log    [ 0.32853202]    [ 0.20669869]    [ 0.33151304]    [ 0.20465383]    [-0.21724875]    [-0.22171408]    [-0.32501381]    [-0.39472564]
000005.log    [ 0.36526578]    [ 0.16148064]    [ 0.17660946]    [ 0.13180153]    [-0.22661837]    [-0.24756906]    [ 0.12162679]    [-0.23945179]
000006.log    [ 0.14567166]    [ 0.40630699]    [ 0.41102184]    [ 0.47891427]    [-0.21851176]    [ 0.16480627]    [ 0.16108123]    [-0.43204526]
000007.log    [ 0.29675766]    [ 0.21094056]    [ 0.12971015]    [ 0.36181912]    [-0.14326829]    [ 0.3398441]    [ 0.01878231]    [-0.4288875]
000008.log    [ 0.33376251]    [ 0.40486366]    [ 0.45022718]    [ 0.47398881]    [-0.40603405]    [ 0.00180313]    [ 0.04070391]    [-0.14523702]
000009.log    [ 0.20131783]    [ 0.42351387]    [ 0.30617949]    [ 0.11440638]    [-0.04492756]    [-0.02948559]    [-0.05076301]    [-0.19164555]
000010.log    [ 0.1344147]    [ 0.42062317]    [ 0.27875527]    [ 0.36660171]    [-0.3127389]    [-0.27425064]    [ 0.17023713]    [-0.40937935]
000011.log    [ 0.18167174]    [ 0.2366201]    [ 0.17725825]    [ 0.45978926]    [-0.25053938]    [ 0.33699795]    [-0.2074236]    [-0.1145638]
000012.log    [ 0.12475772]    [ 0.30444525]    [ 0.49571121]    [ 0.24597735]    [-0.23382116]    [-0.0519952]    [-0.274505]    [-0.13993568]
000013.log    [ 0.42230685]    [ 0.37350991]    [ 0.44227841]    [ 0.40633389]    [-0.13209643]    [ 0.24351462]    [-0.36751645]    [-0.07413827]
000014.log    [ 0.47758238]    [ 0.42365969]    [ 0.48018854]    [ 0.15629366]    [-0.38153946]    [-0.37283746]    [-0.08054936]    [-0.29552191]
000015.log    [ 0.3811349]    [ 0.28787384]    [ 0.19870318]    [ 0.1057981]    [-0.18805343]    [ 0.23933036]    [-0.07323857]    [-0.0538359]
000016.log    [ 0.27360162]    [ 0.38657179]    [ 0.36022097]    [ 0.30936088]    [-0.32845864]    [ 0.32434645]    [-0.07517052]    [ 0.00217271]
000017.log    [ 0.37034833]    [ 0.25628738]    [ 0.13118812]    [ 0.40093683]    [-0.38955437]    [ 0.00090091]    [-0.3427884]    [-0.37153375]
000018.log    [ 0.16732072]    [ 0.39448208]    [ 0.2782242]    [ 0.4191867]    [-0.47278017]    [-0.08777043]    [-0.44837759]    [-0.13348965]
000019.log    [ 0.40481549]    [ 0.42042742]    [ 0.46306903]    [ 0.4152399]    [-0.28663502]    [-0.08932207]    [-0.2408791]    [-0.47482023]
000020.log    [ 0.47412978]    [ 0.24553192]    [ 0.13656438]    [ 0.41530669]    [-0.10178305]    [-0.29191556]    [-0.3585661]    [-0.29085975]
000021.log    [ 0.47903935]    [ 0.34178432]    [ 0.38779729]    [ 0.12743211]    [-0.06970385]    [-0.04533246]    [ 0.11416049]    [-0.31296136]
000022.log    [ 0.46591032]    [ 0.3549321]    [ 0.18520767]    [ 0.21229207]    [-0.02107138]    [ 0.31023178]    [ 0.16165099]    [-0.28268176]
000023.log    [ 0.24726873]    [ 0.11457252]    [ 0.48554509]    [ 0.34230812]    [-0.24586462]    [ 0.15441223]    [ 0.18172424]    [-0.40176957]
000024.log    [ 0.42681115]    [ 0.48866504]    [ 0.47585089]    [ 0.12162134]    [-0.22118648]    [-0.07564483]    [ 0.261041]    [-0.00236933]
000025.log    [ 0.22279187]    [ 0.12453035]    [ 0.11540714]    [ 0.14480401]    [-0.34009057]    [ 0.37735884]    [ 0.18086384]    [-0.18838616]
000026.log    [ 0.35467904]    [ 0.48371135]    [ 0.40532135]    [ 0.21653118]    [-0.43968908]    [ 0.11018685]    [-0.27373559]    [-0.28510909]
000027.log    [ 0.14299815]    [ 0.3691911]    [ 0.24441532]    [ 0.20222045]    [-0.0066369]    [ 0.16648395]    [ 0.36831791]    [-0.20473927]
000028.log    [ 0.43046532]    [ 0.4076151]    [ 0.30816519]    [ 0.24422845]    [-0.10422287]    [ 0.33638868]    [ 0.2003861]    [-0.10363451]
