  
       XFOIL         Version 6.97
  
 Calculated polar for: 000196                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.040     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   3.000   0.7966   0.01921   0.01040  -0.1040   0.3177   0.2687
   4.000   0.8864   0.02050   0.01154  -0.0996   0.2942   0.2848
   5.000   0.9748   0.02174   0.01279  -0.0953   0.2750   0.3044
   6.000   1.0612   0.02323   0.01427  -0.0911   0.2587   0.3252
   7.000   1.1446   0.02498   0.01601  -0.0868   0.2445   0.3482
   8.000   1.2265   0.02699   0.01798  -0.0827   0.2317   0.3742
   9.000   1.2990   0.02923   0.02042  -0.0780   0.2213   0.4036
  10.000   1.3709   0.03192   0.02322  -0.0736   0.2114   0.4388
  11.000   1.4428   0.03476   0.02615  -0.0697   0.2023   0.4870
  12.000   1.4961   0.03839   0.03035  -0.0650   0.1946   0.5838
