  
       XFOIL         Version 6.97
  
 Calculated polar for: 000062                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.040     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   1.000   0.3515   0.01973   0.01133  -0.0583   0.6209   0.1144
   2.000   0.4423   0.01954   0.01084  -0.0560   0.5678   0.1285
   3.000   0.5448   0.01934   0.01047  -0.0566   0.5356   0.1480
   4.000   0.6554   0.01928   0.01038  -0.0592   0.5101   0.1750
   5.000   0.7704   0.01934   0.01044  -0.0629   0.4888   0.2332
   6.000   0.8782   0.02007   0.01247  -0.0637   0.4698   0.7967
   7.000   0.9704   0.02165   0.01409  -0.0605   0.4534   0.8189
   8.000   1.0550   0.02291   0.01548  -0.0561   0.4380   0.8322
   9.000   1.1407   0.02401   0.01674  -0.0528   0.4232   0.8440
  10.000   1.2276   0.02497   0.01787  -0.0507   0.4079   0.8505
  11.000   1.2911   0.02622   0.01935  -0.0452   0.3865   0.8556
  12.000   1.3489   0.02779   0.02117  -0.0388   0.3660   0.8607
  13.000   1.3978   0.03004   0.02366  -0.0318   0.3420   0.8669
  14.000   1.4343   0.03331   0.02724  -0.0239   0.3120   0.8726
  15.000   1.4560   0.03835   0.03251  -0.0156   0.2691   0.8779
