  
       XFOIL         Version 6.97
  
 Calculated polar for: 000001                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.5060   0.03771   0.03281  -0.1123   0.6992   1.0000
   3.500   0.6134   0.03972   0.03432  -0.1053   0.6773   1.0000
   4.000   0.6754   0.03901   0.03347  -0.1067   0.6759   1.0000
   6.000   0.8317   0.04116   0.03544  -0.1000   0.6489   1.0000
   6.500   0.9086   0.03917   0.03340  -0.1035   0.6502   1.0000
   8.500   1.0075   0.04484   0.03922  -0.0902   0.6066   1.0000
   9.000   1.0736   0.04330   0.03778  -0.0921   0.6052   1.0000
   9.500   1.1466   0.04140   0.03594  -0.0950   0.6039   1.0000
  10.000   1.2256   0.03920   0.03381  -0.0989   0.6024   1.0000
  11.000   1.2956   0.04036   0.03521  -0.0949   0.5799   1.0000
  12.000   1.3938   0.03957   0.03457  -0.0946   0.5538   1.0000
  12.500   1.4010   0.04199   0.03713  -0.0890   0.5318   1.0000
  13.000   1.4197   0.04379   0.03900  -0.0852   0.5091   1.0000
  13.500   1.4359   0.04582   0.04107  -0.0812   0.4844   1.0000
  14.000   1.4521   0.04786   0.04308  -0.0774   0.4549   1.0000
  14.500   1.4385   0.05230   0.04746  -0.0706   0.4132   1.0000
  15.000   1.4156   0.05765   0.05253  -0.0634   0.3559   1.0000
