  
       XFOIL         Version 6.99
  
 Calculated polar for: 002991                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.300 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   3.000   0.4377   0.02492  -0.01242  -0.0708   0.6511   0.1338  14.9754  64.1861
   3.500   0.4526   0.02562  -0.01299  -0.0640   0.6310   0.1389  15.7844  64.4703
   4.500   0.5870   0.02397  -0.01533  -0.0660   0.6019   0.1569  16.9567  65.4595
   5.000   0.6242   0.02436  -0.01599  -0.0628   0.5788   0.1651  17.8939  65.8972
   5.500   0.6708   0.02470  -0.01630  -0.0616   0.5537   0.1756  18.9131  66.4445
   6.000   0.7063   0.02545  -0.01669  -0.0585   0.5262   0.1862  20.0324  66.9952
   6.500   0.7472   0.02660  -0.01616  -0.0575   0.4974   0.2006  21.2128  67.7135
   7.000   0.7896   0.02801  -0.01537  -0.0570   0.4671   0.2158  22.4647  68.4615
   7.500   0.8320   0.02973  -0.01424  -0.0571   0.4377   0.2347  23.6848  69.3713
   8.000   0.8826   0.03157  -0.01273  -0.0588   0.4108   0.2602  24.8151  70.5695
   9.000   0.9706   0.03579  -0.00946  -0.0607   0.3625   0.3363  26.8719  73.9915
   9.500   1.0145   0.03773  -0.00786  -0.0616   0.3430   0.4449  27.7195  78.6170
  10.500   1.1455   0.04435  -0.00186  -0.0723   0.3048   1.0000  29.4028 101.0000
  11.000   1.1680   0.04643  -0.00112  -0.0691   0.2908   1.0000  30.0301 101.0000
  11.500   1.1915   0.04863  -0.00017  -0.0663   0.2793   1.0000  30.5547 101.0000
  12.000   1.2140   0.05079   0.00067  -0.0635   0.2679   1.0000  31.0743 101.0000
  12.500   1.2363   0.05313   0.00173  -0.0608   0.2577   1.0000  31.5458 101.0000
  13.000   1.2570   0.05550   0.00270  -0.0581   0.2470   1.0000  32.0435 101.0000
  13.500   1.2770   0.05814   0.00404  -0.0557   0.2387   1.0000  32.4379 101.0000
  14.000   1.2962   0.06072   0.00521  -0.0533   0.2301   1.0000  32.8472 101.0000
  14.500   1.3174   0.06322   0.00641  -0.0512   0.2228   1.0000  33.1971 101.0000
  15.000   1.3354   0.06609   0.00792  -0.0491   0.2158   1.0000  33.5391 101.0000
