  
       XFOIL         Version 6.97
  
 Calculated polar for: 000002                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.4633   0.00835   0.00298  -0.0472   0.6326   0.9534
   3.000   0.6224   0.00882   0.00325  -0.0575   0.5659   1.0000
   5.000   0.7927   0.01029   0.00431  -0.0470   0.4294   1.0000
   6.000   0.8807   0.01140   0.00526  -0.0425   0.3407   1.0000
   7.000   0.9613   0.01310   0.00662  -0.0372   0.2321   1.0000
   8.000   1.0273   0.01572   0.00879  -0.0299   0.1195   1.0000
   9.000   1.0733   0.01882   0.01170  -0.0194   0.0651   1.0000
  10.000   1.1008   0.02195   0.01487  -0.0068   0.0425   1.0000
  11.000   1.1298   0.02550   0.01870   0.0031   0.0315   1.0000
  12.000   1.1556   0.02998   0.02354   0.0107   0.0248   1.0000
  14.000   1.1550   0.04734   0.04168   0.0175   0.0094   1.0000
  15.000   1.1125   0.06414   0.05910   0.0141   0.0078   1.0000
