  
       XFOIL         Version 6.97
  
 Calculated polar for: 000001                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.040     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.8973   0.01584   0.00820  -0.1318   0.5041   0.2757
   1.000   1.0078   0.01625   0.00857  -0.1317   0.4891   0.3351
   2.000   1.1160   0.01673   0.00904  -0.1315   0.4739   0.3932
   3.000   1.2209   0.01731   0.00971  -0.1311   0.4591   0.4628
   6.000   1.5111   0.01999   0.01298  -0.1289   0.4145   1.0001
   7.000   1.5786   0.02205   0.01498  -0.1250   0.3999   1.0001
   8.000   1.6388   0.02484   0.01776  -0.1214   0.3852   1.0001
   9.000   1.6913   0.02839   0.02134  -0.1180   0.3707   1.0001
  10.000   1.7355   0.03276   0.02577  -0.1147   0.3561   1.0001
  11.000   1.7704   0.03802   0.03113  -0.1114   0.3417   1.0001
  12.000   1.7971   0.04430   0.03753  -0.1083   0.3271   1.0001
  13.000   1.8186   0.05158   0.04496  -0.1060   0.3127   1.0001
  14.000   1.8302   0.06030   0.05386  -0.1040   0.2981   1.0001
  15.000   1.8197   0.07193   0.06574  -0.1027   0.2815   1.0001
